flow_packet_count,flow_byte_count,rx_packets,tx_packets,rx_bytes,tx_bytes,label
44299,63497152,43908,8258,63305536,11898362,1
818,1159231,748,446,1078616,643132,1
626,902692,736,569,1061312,820498,1
1036,1293954,786,51,1133412,73542,1
977,1163314,790,99,1137780,141376,1
935,1141234,777,142,1120434,204764,1
828,1193976,829,174,1195418,250908,1
781,1126202,775,302,1117550,435484,1
644,682165,590,86,850780,124012,1
913,1253618,870,95,1254540,136990,1
740,1067080,785,482,1130570,693662,1
782,1127644,785,93,1131970,134106,1
1025,1478050,855,0,1232910,0,1
700,1009400,702,0,1012284,0,1
608,876736,786,0,1133412,0,1
949,1368458,778,0,1121876,0,1
868,1251656,872,7,1256024,8712,1
782,1127644,786,87,1133412,125454,1
753,963908,663,38,956046,54796,1
847,1221374,848,130,1222816,187460,1
774,1116108,869,339,1253098,488838,1
868,1251656,911,17,1313662,24514,1
659,950278,614,241,885388,347522,1
814,1173788,789,189,1136338,271156,1
782,1127644,785,0,1131970,0,1
868,1251656,873,294,1258866,423948,1
803,1157926,741,548,1068522,790216,1
783,1129086,914,462,1317988,666204,1
889,1249830,873,367,1258866,529214,1
1040,1499680,864,289,1244488,415356,1
731,889528,618,227,891156,327334,1
778,1121876,780,123,1124760,177366,1
876,1135503,787,65,1134854,93730,1
799,1023096,708,125,1020936,180250,1
770,1110340,773,37,1114666,53354,1
712,1026704,714,164,1028188,235106,1
672,969024,674,339,971908,488838,1
782,1127644,784,89,1130528,128338,1
788,1136296,789,505,1137738,728210,1
790,1139180,791,448,1140622,646016,1
958,1095644,752,51,1084384,73542,1
714,1029588,716,250,1031072,359118,1
867,1250214,869,195,1253098,281190,1
868,1251656,869,9,1253098,12978,1
868,1251656,869,37,1253098,53354,1
868,1251656,869,121,1253098,174482,1
868,1251656,870,88,1254540,126896,1
867,1250214,872,118,1256024,168774,1
851,1227142,853,206,1230026,297052,1
867,1250214,869,563,1253098,811846,1
868,1251656,870,9,1254540,12978,1
867,1250214,871,0,1255982,0,1
1050,1282414,870,0,1254540,0,1
867,1250214,870,327,1253140,470152,1
867,1250214,869,581,1253098,837802,1
866,1248772,867,92,1250214,132664,1
867,1250214,870,89,1254540,128338,1
868,1251656,870,528,1254540,761376,1
846,1219932,848,783,1222816,1129086,1
1063,1259230,872,125,1256024,178868,1
868,1251656,872,18,1257424,25956,1
928,1258937,871,0,1255982,0,1
698,1006516,702,0,1012284,0,1
867,1250214,872,0,1257424,0,1
867,1250214,871,1,1254582,60,1
868,1251656,872,0,1257424,0,1
790,1139180,729,6,1051218,8652,1
802,1155220,869,38,1253098,54796,1
988,1271548,872,495,1256024,712408,1
847,1030356,700,72,1009400,103824,1
837,1206954,839,189,1209838,272538,1
783,1129086,709,87,1022378,125454,1
650,937300,646,131,930132,187520,1
782,1127644,867,155,1250214,223510,1
827,1192534,830,348,1196860,501816,1
782,1127644,783,484,1129086,697928,1
757,1091594,656,217,945952,312914,1
729,1051218,777,283,1119034,406704,1
847,1221374,811,157,1169462,226394,1
830,1196860,869,117,1253098,168714,1
798,1150716,801,133,1155042,191786,1
1063,1146514,782,116,1126244,165890,1
802,1151288,799,216,1152158,311472,1
783,1129086,783,374,1129086,539308,1
1146,1330326,866,95,1248772,136990,1
835,1204070,808,38,1163736,53414,1
821,1183882,824,112,1188208,161504,1
861,1241562,862,183,1243004,263886,1
783,1129086,787,166,1134854,239372,1
844,1217048,846,227,1218532,325952,1
784,1130528,787,294,1134854,423948,1
700,1009400,702,250,1012284,360500,1
689,993538,782,288,1127644,415296,1
671,967582,625,142,901250,204764,1
675,972022,728,127,1048376,181752,1
1097,1280418,845,197,1218490,284074,1
